food1,food2,food3
310.0,395.0,3472.0
175.0,700.0,3310.0
231.0,338.0,3102.0
203.0,692.0,3033.0
278.0,473.0,2914.0
198.0,573.0,3409.0
240.0,677.0,2823.0
195.0,600.0,2783.0
223.0,529.0,2883.0
232.0,599.0,3051.0
187.0,523.0,862.0
243.0,484.0,3132.0
294.0,415.0,2683.0
296.0,1007.0,2870.0
194.0,855.0,3176.0
232.0,627.0,2809.0
254.0,516.0,3107.0
159.0,547.0,3103.0
244.0,325.0,2919.0
262.0,353.0,2932.0
218.0,1114.0,3146.0
293.0,305.0,2834.0
585.0,373.0,2551.0
209.0,572.0,1990.0
236.0,548.0,2814.0
214.0,542.0,3065.0
234.0,315.0,3129.0
217.0,1351.0,604.0
195.0,488.0,2774.0
199.0,516.0,2852.0
257.0,575.0,3175.0
303.0,883.0,3192.0
221.0,502.0,3542.0
238.0,540.0,2945.0
267.0,649.0,1236.0
198.0,560.0,2433.0
224.0,736.0,3327.0
255.0,354.0,1363.0
242.0,776.0,2953.0
286.0,1064.0,2854.0
184.0,400.0,3332.0
304.0,286.0,2770.0
258.0,636.0,2869.0
173.0,1736.0,2366.0
225.0,878.0,2907.0
238.0,646.0,2660.0
292.0,380.0,2956.0
168.0,497.0,2675.0
299.0,574.0,3489.0
262.0,321.0,2820.0
222.0,442.0,3377.0
310.0,288.0,2968.0
186.0,560.0,2976.0
262.0,370.0,3038.0
248.0,394.0,2784.0
238.0,366.0,3008.0
227.0,895.0,3272.0
201.0,518.0,2584.0
185.0,470.0,2548.0
189.0,476.0,3164.0
173.0,513.0,1685.0
198.0,454.0,3246.0
227.0,584.0,2780.0
274.0,354.0,2726.0
232.0,562.0,2222.0
248.0,706.0,3059.0
235.0,631.0,2936.0
229.0,374.0,856.0
212.0,524.0,3183.0
193.0,907.0,3193.0
287.0,422.0,2890.0
214.0,707.0,2506.0
240.0,384.0,2709.0
254.0,504.0,1442.0
275.0,271.0,2791.0
253.0,666.0,3189.0
221.0,1130.0,3244.0
199.0,647.0,2502.0
226.0,388.0,1489.0
251.0,368.0,2898.0
172.0,796.0,3015.0
317.0,296.0,2198.0
234.0,523.0,2364.0
239.0,753.0,3063.0
225.0,358.0,2539.0
203.0,374.0,3085.0
504.0,242.0,1777.0
226.0,1662.0,619.0
192.0,452.0,3190.0
242.0,547.0,2467.0
246.0,1241.0,1849.0
250.0,453.0,2681.0
219.0,564.0,2748.0
341.0,576.0,1915.0
193.0,446.0,3286.0
180.0,844.0,2885.0
215.0,491.0,3170.0
193.0,653.0,2849.0
164.0,490.0,2721.0
230.0,1265.0,3040.0
234.0,343.0,3085.0
272.0,871.0,3153.0
257.0,1847.0,2716.0
188.0,551.0,3091.0
220.0,764.0,2826.0
248.0,531.0,2987.0
230.0,919.0,2623.0
199.0,570.0,2986.0
223.0,642.0,2943.0
258.0,402.0,3269.0
